#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-01-19T16:49:41 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61e8406795e9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/640/A1&tab:{J/A+A/640/A1/table1}&key:source=J/A+A/640/A1/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/640/A1/table1
#-order=I
#-out=Cluster
#-out=RA_ICRS
#-out=DE_ICRS
#-out=nbstars07
#-out=pmRA*
#-out=pmDE
#-out=plx
#-out=AgeNN
#-out=AVNN
#-out=DMNN
#-out=DistPc
#

#RESOURCE=yCat_36400001
#Name: J/A+A/640/A1
#Title: Portrait Galactic disc (Cantat-Gaudin+, 2020)
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_640_A1_table1:
#Name: J/A+A/640/A1/table1
#Title: Mean cluster parameters
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id.parent]
#Column	RA_ICRS	(F7.3)	[] Mean right ascension of members (ICRS) at Ep=2015.5	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F7.3)	Mean declination of members (ICRS) at Ep=2015.5	[ucd=pos.eq.dec;meta.main]
#Column	nbstars07	(I4)	Number of members with proba over 0.7	[ucd=meta.number]
#Column	pmRA*	(F7.3)	Mean proper motion along RA of members, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.3)	Mean proper motion along DE of members	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F6.3)	Mean parallax of members	[ucd=pos.parallax.trig]
#Column	AgeNN	(F5.2)	? Age (logt) of the cluster	[ucd=time.age]
#Column	AVNN	(F5.2)	? Extinction Av of the cluster	[ucd=phys.absorption]
#Column	DMNN	(F5.2)	? Distance modulus of the cluster	[ucd=phot.mag.distMod]
#Column	DistPc	(F6)	? Distance in parsecs (converted distance modulus)	[ucd=pos.distance;pos.heliocentric]
Cluster	RA_ICRS	DE_ICRS	nbstars07	pmRA*	pmDE	plx	AgeNN	AVNN	DMNN	DistPc
FSR_1083         	110.503	+03.557	  96	 -0.331	  0.245	 0.191	 9.30	 0.43	13.44	  4884
FSR_1085         	103.290	-00.192	  53	 -1.050	  0.262	 0.596	 7.76	 0.61	10.97	  1565
FSR_1113         	107.300	-01.502	  20	 -0.566	  1.913	 0.254	 9.44	 0.14	12.88	  3767
FSR_1117         	094.159	-08.945	  26	 -3.711	  0.704	 1.049	 7.19	 1.52	 9.80	   911
FSR_1125         	102.619	-05.444	  23	 -0.255	  1.055	 0.113	 8.08	 2.25	14.13	  6699
FSR_1144         	104.298	-06.628	  60	 -1.280	  1.144	 0.512	 7.81	 0.66	11.29	  1808
FSR_1150         	106.146	-06.621	  34	 -0.500	  0.102	 0.224	 8.85	 0.90	12.73	  3507
FSR_1153         	108.573	-05.658	   7	 -1.376	  1.206	 0.330	     	     	     	
FSR_1163         	104.810	-09.078	  37	  0.192	  1.215	 0.396	 9.13	 1.05	11.85	  2345
FSR_1170         	106.873	-08.879	  17	 -0.639	 -0.213	 0.330	 8.29	 1.85	12.46	  3110
FSR_1171         	105.058	-10.320	  15	  0.244	 -0.858	 0.210	     	     	     	
FSR_1172         	103.909	-11.035	  14	 -0.486	 -0.247	 0.390	 8.05	 1.71	12.01	  2526
FSR_1180         	108.897	-09.453	  58	 -1.208	  1.815	 0.327	 8.74	 1.15	12.15	  2686
FSR_1183         	108.357	-09.884	  30	 -1.419	  1.217	 0.428	 8.26	 0.40	11.71	  2201
FSR_1207         	106.883	-13.328	  44	 -1.289	  0.762	 0.348	 8.38	 1.29	12.00	  2513
FSR_1209         	106.785	-13.827	  41	 -0.928	  0.689	 0.190	 8.45	 1.30	13.69	  5467
FSR_1211         	115.336	-09.607	  57	 -3.137	  2.564	 0.288	 9.08	 0.19	12.60	  3311
FSR_1212         	106.941	-14.145	  24	 -0.246	  0.314	 0.216	 9.14	 1.54	14.93	  9682
FSR_1252         	110.659	-18.703	  70	 -1.822	  2.990	 0.263	 8.93	 0.90	12.41	  3035
FSR_1253         	111.583	-18.433	 102	 -2.089	  1.878	 0.223	 8.47	 1.41	13.32	  4607
FSR_1260         	112.088	-19.679	  40	 -3.159	  3.444	 0.321	 8.15	 0.71	12.38	  2989
FSR_1284         	109.992	-24.535	  38	 -0.983	  1.357	 0.392	 8.77	 0.84	11.84	  2330
FSR_1297         	110.984	-25.879	  25	 -2.775	  3.314	 0.754	     	     	     	
FSR_1315         	117.159	-26.974	  38	 -2.435	  3.123	 0.208	 7.91	 0.82	13.25	  4458
FSR_1335         	123.012	-28.986	  15	 -2.670	  3.172	 0.131	 7.05	 1.03	14.21	  6961
FSR_1342         	119.487	-31.511	  66	 -2.375	  2.693	 0.229	 7.41	 2.42	13.21	  4384
FSR_1352         	116.614	-34.287	  16	 -1.981	  3.148	 0.240	 6.54	 2.57	12.81	  3643
FSR_1360         	120.392	-34.483	  54	 -1.798	  2.838	 0.375	 8.19	 1.24	11.89	  2386
FSR_1361         	117.656	-36.401	 199	 -2.531	  4.006	 0.359	 8.46	 1.73	12.17	  2721
FSR_1363         	122.655	-34.616	  23	 -1.465	  1.980	 0.240	 8.35	 0.65	12.84	  3691
FSR_1378         	120.304	-40.676	 134	 -5.659	 11.934	 0.588	 9.35	 1.11	10.99	  1578
FSR_1380         	122.764	-39.994	  53	 -2.221	  1.870	 0.260	 9.01	 2.47	12.56	  3245
FSR_1399         	131.035	-39.352	  35	 -4.111	  3.387	 0.315	 8.99	 2.70	12.33	  2920
FSR_1402         	136.441	-37.874	  96	 -3.724	  1.739	 0.194	 9.48	 0.89	13.20	  4373
FSR_1407         	142.445	-33.848	  92	 -4.806	  5.983	 0.275	 9.61	 0.57	12.69	  3455
FSR_1419         	124.711	-47.786	  11	 -2.529	  2.860	 0.036	 9.21	 1.25	15.24	 11165
FSR_1435         	134.218	-43.757	  47	 -3.900	  2.732	 0.436	     	     	     	
FSR_1441         	129.880	-47.098	  38	 -3.723	  3.567	 0.189	 8.85	 1.39	13.19	  4338
FSR_1452         	133.332	-47.871	  31	 -4.603	  3.722	 0.363	 8.37	 1.49	11.81	  2300
FSR_1460         	136.922	-47.827	  11	 -3.490	  3.944	 0.225	     	     	     	
FSR_1484         	142.452	-50.697	  30	 -5.154	  3.537	 0.406	 8.64	 2.25	11.87	  2370
FSR_1509         	147.006	-55.073	  32	 -4.049	  2.723	 0.233	 7.79	 3.43	13.12	  4203
FSR_1521         	148.852	-56.605	  68	 -4.886	  4.467	 0.201	 9.72	 2.72	13.47	  4933
FSR_1530         	152.216	-57.288	  46	 -5.661	  3.373	 0.196	 9.03	 3.90	13.67	  5421
FSR_1580         	171.917	-58.471	   7	 -5.244	  1.408	 0.125	     	     	     	
FSR_1586         	170.679	-62.302	 104	 -5.934	  1.513	 0.211	     	     	     	
FSR_1591         	174.222	-62.731	  61	 -5.469	  1.670	 0.255	     	     	     	
FSR_1595         	176.771	-62.639	  38	 -6.779	  1.373	 0.179	 8.84	 2.45	13.66	  5384
FSR_1663         	205.251	-60.203	  84	 -5.031	 -2.464	 0.270	 9.11	 2.42	12.34	  2940
FSR_1723         	238.769	-46.014	 104	 -0.196	 -1.395	 0.642	 8.25	 1.04	10.88	  1496
FSR_1750         	255.523	-38.875	  69	 -1.604	 -2.317	 0.253	     	     	     	
Feibelman_1      	304.417	+38.030	  30	 -3.192	 -4.956	 0.260	 8.14	 1.93	12.98	  3944
Ferrero_1        	275.063	-32.338	  98	  0.149	 -4.809	 1.145	 8.40	 0.40	 9.71	   875
Ferrero_11       	093.646	+00.637	  71	 -3.013	 -4.339	 1.240	 8.45	 0.57	 9.57	   820
Gaia_1           	101.474	-16.733	 185	 -0.079	  1.249	 0.145	 9.50	 0.59	14.05	  6460
Gaia_2           	028.136	+53.058	   6	 -1.181	  1.299	 0.099	 9.90	 0.50	13.65	  5370
Graham_1         	164.134	-63.018	  14	 -6.324	  2.178	 0.218	 7.19	 2.29	12.76	  3558
Gulliver_1       	161.582	-57.034	  82	 -7.926	  3.582	 0.323	 9.14	 0.30	12.18	  2731
Gulliver_10      	123.090	-38.676	  42	 -4.443	  4.965	 1.652	 6.97	 0.62	 8.94	   613
Gulliver_11      	067.996	+43.620	  61	  0.400	 -2.229	 1.061	 8.51	 0.76	 9.79	   907
Gulliver_12      	181.174	-61.308	  43	 -5.948	 -0.410	 0.559	 8.33	 0.58	11.18	  1722
Gulliver_13      	104.858	-13.254	  72	 -2.941	  0.281	 0.620	 9.00	 0.78	10.90	  1513
Gulliver_14      	259.928	-36.785	  30	 -3.719	 -4.792	 0.745	 8.78	 1.63	10.48	  1247
Gulliver_15      	272.599	-16.723	  58	 -1.060	 -1.638	 0.506	 7.93	 2.08	11.55	  2043
Gulliver_16      	023.433	+60.751	  43	 -1.249	 -0.614	 0.208	 8.15	 1.39	13.45	  4886
Gulliver_17      	302.654	+35.871	  98	 -1.078	 -3.029	 0.555	 7.84	 0.92	11.06	  1631
Gulliver_18      	302.905	+26.532	 180	 -3.198	 -5.646	 0.613	 7.60	 1.59	11.01	  1595
Gulliver_19      	344.190	+61.106	 132	  0.893	 -2.258	 0.634	 7.99	 3.01	11.19	  1732
Gulliver_2       	122.883	-37.404	  59	 -4.951	  4.576	 0.696	 6.82	 0.51	10.69	  1375
Gulliver_20      	273.736	+11.082	  46	  1.039	 -6.525	 2.347	 8.25	 0.25	 8.17	   429
Gulliver_21      	106.961	-25.462	 121	 -1.929	  4.205	 1.504	 8.44	 0.13	 9.13	   670
Gulliver_22      	084.848	+26.368	  22	 -1.523	 -4.605	 1.257	     	     	     	
Gulliver_23      	304.255	+38.055	 114	 -2.446	 -4.444	 0.246	 8.72	 2.18	12.67	  3424
Gulliver_24      	001.161	+62.835	  75	 -3.241	 -1.570	 0.636	 8.25	 1.05	10.88	  1498
Gulliver_25      	052.011	+45.152	  39	  0.960	 -4.089	 0.711	 8.56	 0.82	10.66	  1356
Gulliver_26      	080.689	+35.270	  43	  2.018	 -2.874	 0.360	 8.58	 1.62	12.13	  2671
Gulliver_27      	146.088	-54.117	  51	 -4.658	  3.467	 0.322	 8.78	 1.09	12.17	  2716
Gulliver_28      	293.559	+18.059	  57	 -4.485	 -3.400	 1.581	 8.53	 0.97	 9.01	   634
Gulliver_29      	256.745	-35.205	 342	  1.325	 -2.206	 0.905	 7.03	 1.02	10.36	  1180
Gulliver_3       	122.536	-37.244	  34	 -2.962	  4.106	 0.191	 8.18	 1.45	13.23	  4435
Gulliver_30      	313.673	+45.996	  51	 -2.524	 -3.697	 0.427	 8.18	 1.37	11.78	  2272
Gulliver_31      	301.912	+38.232	  46	 -1.500	 -3.113	 0.396	 8.16	 1.10	11.98	  2493
Gulliver_32      	098.383	+07.478	  31	 -0.879	  2.304	 0.577	 9.11	 0.73	11.14	  1693
Gulliver_33      	318.159	+46.345	  78	  0.274	 -3.959	 0.867	 7.68	 0.69	10.23	  1113
Gulliver_34      	167.722	-59.158	  14	 -6.179	  2.409	 0.223	     	     	     	
Gulliver_35      	150.379	-58.198	  19	 -6.973	  3.967	 0.405	 8.19	 1.05	11.87	  2365
Gulliver_36      	123.185	-35.111	  96	 -0.236	  0.609	 0.725	 8.87	 0.47	10.59	  1311
Gulliver_37      	292.077	+25.347	  46	 -0.775	 -3.740	 0.642	 8.55	 1.33	10.79	  1438
Gulliver_38      	300.808	+34.435	  94	 -0.921	 -2.594	 0.400	 8.91	 1.64	11.94	  2447
Gulliver_39      	163.697	-58.050	  36	 -4.407	  1.274	 0.335	 8.79	 1.38	12.02	  2536
Gulliver_4       	122.164	-37.500	  54	 -2.912	  3.033	 0.300	 9.06	 0.94	12.19	  2747
Gulliver_40      	163.095	-58.394	  29	 -7.686	  2.476	 0.589	 7.62	 0.64	11.09	  1652
Gulliver_41      	277.718	-12.429	  44	 -1.790	 -4.709	 0.171	     	     	     	
Gulliver_42      	303.935	+37.851	  42	 -2.778	 -5.452	 0.181	     	     	     	
Gulliver_43      	296.283	+24.558	  49	 -2.922	 -5.796	 0.351	 7.76	 2.88	12.38	  2994
Gulliver_44      	127.249	-38.095	 143	 -0.666	  2.301	 0.785	 8.65	 0.78	10.44	  1227
Gulliver_45      	104.617	+03.104	  41	 -0.760	  2.510	 0.284	 9.49	 1.08	12.61	  3332
Gulliver_46      	186.234	-61.973	  64	 -6.946	  0.125	 0.181	 7.07	 2.67	13.31	  4587
Gulliver_47      	107.932	+00.827	  73	 -1.957	 -0.432	 0.491	 8.54	 0.31	11.43	  1930
Gulliver_48      	316.334	+50.733	  98	 -4.781	 -6.671	 1.058	 7.26	 2.87	10.09	  1042
Gulliver_49      	350.704	+61.988	 153	 -4.022	 -3.050	 0.587	 8.58	 2.18	11.04	  1613
Gulliver_5       	132.626	-45.509	  15	 -5.102	  4.904	 0.406	 7.58	 1.50	11.65	  2135
Gulliver_50      	181.362	-62.678	  62	 -7.204	  1.663	 0.514	 7.61	 0.94	11.19	  1731
Gulliver_51      	030.335	+63.801	  39	 -4.892	 -0.149	 0.647	 8.56	 1.42	10.93	  1536
Gulliver_52      	161.669	-59.508	  47	 -4.755	  1.470	 0.396	 8.68	 1.04	11.97	  2482
Gulliver_53      	080.975	+34.012	  23	  0.401	 -2.837	 0.384	 8.11	 0.96	11.93	  2434
Gulliver_54      	081.297	+33.688	  30	 -0.595	 -7.299	 0.791	 8.45	 0.40	10.38	  1190
Gulliver_55      	297.833	+18.661	  23	 -2.043	 -2.530	 0.369	 9.30	 0.92	11.87	  2369
Gulliver_56      	095.380	+26.909	  18	  0.534	 -3.240	 0.458	 8.61	 0.44	11.58	  2074
Gulliver_57      	141.203	-48.075	  94	 -6.737	  4.085	 0.701	 8.64	 2.21	10.74	  1403
Gulliver_58      	191.515	-61.965	 196	 -3.592	 -0.353	 0.398	 8.82	 2.76	11.97	  2478
Gulliver_59      	195.721	-64.600	  67	 -2.408	 -1.053	 0.434	 8.22	 1.14	11.71	  2199
Gulliver_6       	083.278	-01.652	 318	 -0.007	 -0.207	 2.367	 7.22	 0.25	 8.03	   403
Gulliver_60      	303.436	+29.672	 117	  1.752	  0.219	 0.899	 7.97	 1.01	10.13	  1063
Gulliver_7       	141.746	-55.127	  56	 -3.547	  3.108	 0.084	 8.68	 1.50	13.71	  5523
Gulliver_8       	080.560	+33.792	  29	 -0.156	 -2.982	 0.872	 7.33	 0.52	10.28	  1137
Gulliver_9       	126.998	-47.929	 252	 -5.992	  6.915	 1.985	 7.25	 0.42	 8.74	   559
Haffner_10       	112.156	-15.364	 163	 -1.144	  1.557	 0.259	 9.58	 1.35	12.66	  3409
Haffner_11       	113.855	-27.708	 140	 -1.465	  3.149	 0.138	 8.97	 1.56	13.74	  5605
Haffner_13       	115.209	-30.073	 197	 -6.184	  5.879	 1.742	 7.31	 0.00	 8.75	   562
Haffner_14       	116.182	-28.384	 162	 -1.821	  1.728	 0.226	 8.46	 1.52	13.07	  4108
Haffner_15       	116.380	-32.846	 151	 -2.154	  3.289	 0.238	 7.41	 3.13	12.91	  3811
Haffner_16       	117.586	-25.458	  83	 -2.811	  2.991	 0.293	 7.92	 0.38	12.56	  3244
Haffner_17       	117.899	-31.812	  98	 -1.195	  1.859	 0.247	 8.10	 2.99	12.61	  3331
Haffner_18       	118.168	-26.387	  62	 -2.548	  2.670	 0.185	 7.15	 1.52	13.53	  5083
Haffner_19       	118.193	-26.274	  39	 -2.494	  2.507	 0.169	 7.56	 0.80	13.69	  5472
Haffner_20       	119.061	-30.369	  44	 -2.294	  3.407	 0.178	 8.29	 1.80	13.19	  4341
Haffner_21       	120.288	-27.212	  58	 -1.432	  1.563	 0.286	 8.43	 0.59	12.49	  3143
Haffner_22       	123.108	-27.913	 146	 -1.638	  2.878	 0.329	 9.39	 0.33	12.24	  2802
Haffner_23       	107.389	-16.866	  49	 -0.526	 -0.077	 0.448	 8.50	 0.66	11.55	  2042
Haffner_26       	123.911	-30.851	  52	 -1.588	  2.370	 0.303	 8.73	 0.46	12.23	  2788
Haffner_3        	106.027	-06.133	  29	 -1.179	 -0.906	 0.379	 8.77	 0.79	12.00	  2511
Haffner_4        	106.512	-15.002	  57	 -0.417	  0.904	 0.223	 8.66	 1.05	13.52	  5051
Haffner_5        	109.493	-22.660	 180	  0.965	 -4.060	 0.571	 9.67	 0.76	11.14	  1692
Haffner_6        	109.998	-13.151	 154	 -1.220	  1.960	 0.204	 8.79	 1.36	13.25	  4466
Haffner_7        	110.734	-29.502	  76	 -1.541	  2.966	 0.199	 8.94	 0.47	13.19	  4350
Haffner_8        	110.777	-12.310	  93	 -1.626	  0.446	 0.314	 8.38	 1.16	12.39	  3009
Haffner_9        	111.175	-17.001	 126	 -0.832	  0.424	 0.337	 8.58	 1.38	12.32	  2906
Harvard_10       	244.859	-54.957	 153	 -1.919	-10.577	 1.418	 8.30	 0.45	 9.28	   716
Harvard_13       	255.999	-48.090	  32	 -2.766	 -7.190	 0.807	 8.93	 1.43	10.58	  1308
Harvard_16       	262.781	-36.813	 347	 -0.636	 -0.778	 0.623	 7.86	 2.42	11.01	  1591
Harvard_20       	298.321	+18.345	  36	 -1.732	 -4.447	 0.461	 8.16	 0.51	11.39	  1898
Havlen_Moffat_1  	259.752	-38.817	  25	 -1.047	 -2.552	 0.211	     	     	     	
Hogg_10          	167.663	-60.385	  11	 -6.201	  1.754	 0.382	     	     	     	
Hogg_15          	190.906	-63.101	  72	 -6.018	 -0.461	 0.266	 6.34	 3.40	12.40	  3020
Hogg_17          	218.459	-61.326	  41	 -5.201	 -2.433	 0.407	 8.17	 1.80	11.79	  2277
Hogg_18          	222.716	-52.271	  25	 -1.808	 -2.317	 0.564	 8.42	 1.21	11.22	  1756
Hogg_19          	247.236	-49.110	  34	 -2.050	 -3.125	 0.369	 7.27	 2.14	12.04	  2558
Hogg_21          	251.414	-47.747	  27	 -0.937	 -2.206	 0.366	 7.95	 1.54	12.16	  2703
Hogg_4           	149.424	-54.612	 226	 -5.022	  4.484	 0.210	 9.17	 1.04	13.02	  4025
IC_1311          	302.697	+41.177	 449	 -3.364	 -5.047	 0.124	 8.96	 1.34	13.95	  6167
IC_1369          	318.033	+47.770	 185	 -4.644	 -5.609	 0.262	 8.46	 2.11	12.59	  3301
IC_1396          	324.745	+57.514	 403	 -2.355	 -4.495	 1.066	 7.08	 1.59	 9.79	   905
IC_1434          	332.625	+52.858	 231	 -3.904	 -3.328	 0.278	 8.44	 0.58	12.71	  3481
IC_1442          	333.978	+53.995	  95	 -3.341	 -3.283	 0.259	 7.29	 1.17	12.65	  3386
IC_1590          	013.205	+56.629	  97	 -2.368	 -1.449	 0.339	 6.79	 1.13	12.37	  2980
IC_166           	028.094	+61.857	 699	 -1.439	  1.126	 0.175	 9.12	 2.47	13.62	  5285
IC_1805          	038.210	+61.471	 106	 -0.702	 -0.669	 0.449	 6.88	 2.22	11.47	  1964
IC_1848          	042.855	+60.419	 279	 -0.372	 -0.315	 0.415	 7.20	 1.75	11.90	  2398
IC_2157          	091.183	+24.091	  35	  0.959	 -2.982	 0.448	 8.18	 1.10	11.53	  2020
IC_2391          	130.292	-52.991	 222	-24.644	 23.316	 6.582	 7.46	 0.04	 5.86	   148
IC_2395          	130.531	-48.090	 291	 -4.464	  3.293	 1.379	 7.31	 0.51	 9.23	   702
IC_2488          	141.857	-57.004	 404	 -7.761	  5.698	 0.718	 8.21	 0.67	10.61	  1323
IC_2581          	156.867	-57.626	 103	 -7.275	  3.594	 0.352	 7.01	 1.17	12.02	  2535
IC_2602          	160.613	-64.426	 311	-17.582	 10.700	 6.561	 7.56	 0.03	 5.87	   149
IC_2714          	169.373	-62.719	 888	 -7.597	  2.639	 0.719	 8.72	 0.95	10.67	  1360
IC_2948          	174.822	-63.440	  51	 -5.968	  0.647	 0.388	 6.81	 1.16	12.00	  2508
IC_348           	056.132	+32.159	 139	  4.483	 -6.447	 3.079	 7.07	 1.91	 7.64	   337
IC_361           	064.736	+58.252	 470	  1.721	 -1.139	 0.227	 8.91	 1.92	12.77	  3576
IC_4651          	261.212	-49.917	 806	 -2.410	 -5.064	 1.056	 9.22	 0.42	 9.96	   982
IC_4665          	266.554	+05.615	 167	 -0.909	 -8.520	 2.868	 7.52	 0.45	 7.75	   354
IC_4725          	277.937	-19.114	 461	 -1.688	 -6.117	 1.514	 8.05	 0.84	 9.22	   698
IC_4756          	279.649	+05.435	 466	  1.260	 -4.927	 2.093	 9.11	 0.29	 8.53	   506
IC_4996          	304.135	+37.649	  69	 -2.681	 -5.348	 0.487	 7.05	 1.50	11.55	  2043
IC_5146          	328.372	+47.246	 105	 -2.910	 -2.490	 1.213	     	     	     	
Ivanov_4         	105.144	-08.861	   9	 -1.355	  1.022	 0.355	 7.80	 1.24	11.97	  2480
Ivanov_8         	124.794	-35.658	  14	 -2.375	  3.543	 0.088	     	     	     	
Juchert_1        	290.629	+12.667	  53	 -1.777	 -4.609	 0.232	     	     	     	
Juchert_10       	220.049	-60.375	 132	 -4.915	 -2.592	 0.107	     	     	     	
Juchert_13       	180.431	-64.099	 177	 -8.127	  0.249	 0.274	 9.36	 1.74	12.65	  3390
Juchert_18       	097.864	+06.804	  25	  0.059	  0.057	 0.148	 7.39	 2.02	13.79	  5733
Juchert_19       	060.585	+52.446	  21	 -0.141	  0.176	 0.102	 6.91	 3.33	13.83	  5822
Juchert_20       	062.703	+46.874	  72	  1.103	 -1.643	 0.331	 8.48	 1.74	12.47	  3115
Juchert_3        	286.886	+06.279	  60	 -1.509	 -3.985	 0.283	     	     	     	
Juchert_9        	058.840	+58.391	  34	 -0.223	 -0.033	 0.186	 7.06	 2.25	13.39	  4770
Juchert_Saloran_1	004.078	+59.967	  65	 -1.731	 -1.312	 0.197	 8.78	 2.82	13.66	  5383
Kharchenko_1     	092.197	+24.281	  29	  0.767	 -2.286	 0.420	 8.85	 0.93	11.89	  2382
King_1           	005.505	+64.383	 651	 -4.947	 -1.273	 0.519	 9.56	 1.90	11.19	  1727
King_10          	343.748	+59.170	 201	 -2.722	 -2.088	 0.259	 7.24	 3.43	12.97	  3931
King_11          	356.912	+68.636	 260	 -3.358	 -0.643	 0.262	 9.65	 2.67	12.46	  3097
King_12          	358.265	+61.953	  56	 -3.416	 -1.420	 0.296	 7.27	 1.85	12.47	  3126
King_13          	002.553	+61.175	 244	 -2.746	 -0.839	 0.231	 8.70	 1.76	12.74	  3525
King_14          	007.987	+63.163	  94	 -3.267	 -0.985	 0.402	 8.16	 1.30	11.92	  2420
King_15          	008.262	+61.854	  65	 -2.326	 -0.862	 0.306	 8.47	 1.58	12.66	  3403
King_16          	010.915	+64.172	  31	 -2.908	 -0.419	 0.328	 7.72	 2.00	12.29	  2874
King_17          	077.090	+39.069	  38	 -0.126	 -1.274	 0.239	 7.72	 1.61	13.07	  4106
King_18          	343.055	+58.289	  47	 -2.639	 -2.068	 0.310	 7.63	 1.96	12.49	  3153
King_19          	347.053	+60.523	 133	 -4.838	 -2.651	 0.343	 8.69	 1.94	12.07	  2598
King_2           	012.741	+58.188	 117	 -1.358	 -0.824	 0.166	 9.61	 0.97	14.15	  6760
King_20          	353.305	+58.469	  69	 -2.686	 -2.585	 0.496	 8.41	 2.06	11.45	  1949
King_21          	357.479	+62.705	 100	 -3.259	 -1.675	 0.305	 7.99	 2.03	12.39	  3005
King_23          	110.459	-00.988	  89	 -0.457	 -0.879	 0.279	 9.29	 0.17	12.48	  3136
King_25          	291.122	+13.696	 124	 -1.367	 -3.958	 0.310	 7.65	 4.17	12.45	  3089
King_26          	292.237	+14.882	  78	 -2.344	 -4.935	 0.414	 8.37	 2.71	11.79	  2281
King_4           	039.028	+59.024	  72	 -0.575	 -0.084	 0.378	 8.00	 2.20	12.16	  2706
King_5           	048.682	+52.695	 234	 -0.282	 -1.200	 0.367	 9.01	 1.97	12.06	  2581
King_6           	051.982	+56.444	 227	  3.864	 -1.814	 1.346	 8.31	 1.34	 9.38	   751
King_7           	059.783	+51.785	 354	  1.121	 -1.196	 0.286	 8.35	 3.18	12.51	  3171
King_8           	087.324	+33.633	  84	  0.520	 -1.743	 0.131	 8.92	 1.38	13.71	  5517
King_9           	333.877	+54.405	  49	 -2.280	 -0.972	 0.129	 9.49	 1.33	13.78	  5696
Koposov_10       	086.861	+35.427	  59	  0.457	 -1.780	 0.329	 8.25	 2.08	12.38	  2992
Koposov_12       	090.245	+35.287	 125	  0.699	 -1.732	 0.396	 8.59	 1.43	11.96	  2461
Koposov_36       	084.218	+31.210	  69	  0.804	 -3.668	 0.541	 8.63	 1.76	11.35	  1864
Koposov_43       	088.079	+29.901	  10	 -0.037	 -1.664	 0.180	 9.45	 1.41	13.34	  4662
Koposov_53       	092.221	+26.264	  41	  0.242	 -0.632	 0.180	 7.21	 1.53	13.56	  5143
Koposov_63       	092.499	+24.567	  44	  0.546	 -0.447	 0.206	 9.29	 1.06	12.89	  3780
Kronberger_1     	082.089	+34.777	  32	 -0.050	 -2.199	 0.443	 6.78	 2.05	11.84	  2338
Kronberger_25    	275.667	-14.727	  19	 -0.343	 -1.827	 0.268	     	     	     	
Kronberger_4     	296.297	+28.160	  61	 -2.542	 -4.836	 0.119	 8.83	 2.19	14.22	  6984
Kronberger_52    	299.536	+30.883	  57	 -2.622	 -4.837	 0.106	 8.61	 2.49	13.49	  4997
Kronberger_54    	300.778	+31.968	  10	 -2.596	 -5.209	 0.195	     	     	     	
Kronberger_57    	305.986	+36.602	  25	 -3.540	 -4.406	 0.275	     	     	     	
Kronberger_69    	300.499	+31.420	  33	 -2.741	 -5.246	 0.351	 7.61	 2.46	12.14	  2680
Kronberger_79    	293.478	+18.522	  59	 -2.718	 -5.330	 0.148	     	     	     	
Kronberger_80    	317.954	+52.379	  41	 -2.329	 -2.887	 0.071	     	     	     	
Kronberger_81    	321.547	+53.534	  28	 -2.610	 -3.324	 0.228	     	     	     	
Kronberger_84    	323.884	+53.517	  27	 -3.085	 -2.908	 0.225	 8.46	 1.94	13.03	  4045
Kronberger_85    	119.590	-34.770	  29	 -1.265	  2.815	 0.069	     	     	     	
LDN_988e         	316.027	+50.245	  33	  1.181	 -3.560	 1.596	     	     	     	
LP_1218          	273.976	-18.099	  89	 -0.034	 -1.161	 0.365	 8.41	 1.86	12.02	  2536
LP_1235          	281.846	-05.255	 166	  0.410	 -2.124	 0.469	 8.60	 1.82	11.50	  1998
LP_145           	256.976	-44.157	 487	 -2.091	 -5.424	 0.521	 9.00	 3.00	11.49	  1982
LP_1540          	170.219	-59.302	  75	 -5.245	  1.807	 0.346	 9.21	 0.49	12.02	  2539
LP_1624          	266.582	-29.175	 198	  1.705	 -0.777	 0.480	 8.46	 1.63	11.36	  1866
LP_1800          	337.843	+58.053	 230	 -4.592	 -2.648	 0.705	 8.52	 1.25	10.72	  1392
LP_198           	112.127	-20.107	  79	 -2.262	  2.497	 0.278	 8.41	 0.54	12.54	  3213
LP_1994          	191.005	-58.096	 214	 -2.174	 -1.294	 0.501	 8.86	 1.22	11.40	  1905
LP_2000          	319.099	+57.463	 134	 -3.102	 -4.407	 0.710	 8.34	 1.02	10.59	  1312
LP_2059          	153.233	-60.885	  88	 -6.337	  3.073	 0.472	 8.43	 0.30	11.47	  1970
LP_2068          	283.967	-05.094	 110	 -0.470	 -4.333	 0.503	 8.35	 1.22	11.47	  1969
LP_2094          	175.495	-61.961	 131	 -3.712	  1.269	 0.545	 8.17	 0.60	11.19	  1733
